temp,humidity,sensor_id
25.726885,58.128487,5
17.682896,30.991835,5
33.3094,68.38108,5
29.451538,50.277306,5
24.247288,79.952446,5
27.961777,59.028564,5
30.773521,68.15119,5
24.72405,47.741863,5
34.95836,71.14126,5
28.969707,75.062675,5
28.056183,66.283356,5
19.056456,77.64763,5
25.366982,79.208466,5
28.780231,67.85382,5
20.305323,66.382805,5
18.632654,65.57361,5
25.527124,64.50772,5
32.963673,57.99384,5
25.350468,32.08784,5
25.845688,59.91633,5
18.812624,66.67079,5
24.522413,63.72568,5
32.753757,43.661205,5
21.533913,41.605576,5
28.431509,56.617126,5
25.706354,79.37342,5
30.942839,36.281906,5
28.230057,65.82364,5
22.192324,42.238033,5
29.300692,47.006226,5
19.377073,40.233593,5
27.780287,32.12414,5
17.317036,41.873543,5
26.280005,77.69403,5
10.588929,41.96896,5
29.286535,42.507065,5
17.903809,62.94121,5
23.508024,61.7886,5
26.84719,47.478413,5
32.181587,52.92395,5
23.750425,32.999523,5
21.286331,58.612007,5
12.233557,33.72799,5
36.13706,69.03644,5
26.991549,32.404175,5
21.640785,30.104898,5
22.722553,37.657116,5
13.501408,64.77886,5
31.686253,43.958626,5
21.341621,70.95312,5
26.544184,72.59157,5
16.205185,37.84733,5
26.249008,39.659706,5
28.548212,35.146133,5
28.582088,73.71843,5
25.857512,79.86927,5
17.128365,67.393196,5
14.491185,63.733692,5
28.134836,36.790676,5
22.846773,41.468895,5
24.155523,41.42979,5
23.03767,37.901432,5
18.091377,55.602234,5
20.083517,33.550896,5
30.323633,61.309696,5
22.387474,71.118286,5
25.514706,58.55552,5
24.576101,79.10994,5
19.937582,76.90822,5
24.923409,32.871452,5
30.015593,70.54433,5
28.571646,49.657627,5
28.24541,59.14058,5
29.349604,48.308765,5
23.89515,40.396587,5
28.163195,49.73225,5
34.81614,49.060772,5
22.473307,59.054195,5
18.976543,69.41584,5
33.566994,46.88163,5
30.850706,49.444187,5
30.28495,68.80791,5
31.539968,63.655422,5
11.380067,31.245018,5
25.63214,49.11911,5
28.132032,58.133507,5
24.436136,70.45762,5
18.593746,74.91365,5
34.242706,48.380722,5
41.00028,76.05395,5
28.85094,68.351616,5
20.01118,36.394512,5
28.657984,77.13988,5
29.902538,54.737568,5
28.000744,78.17181,5
33.354866,73.68915,5
29.018105,60.01745,5
20.756367,49.245495,5
17.991718,49.80764,5
28.582647,32.528267,5
20.875671,69.95859,5
24.129715,36.71878,5
27.21751,56.108456,5
28.734625,55.259888,5
16.893795,39.40153,5
23.303509,67.9247,5
30.52216,61.648094,5
27.99342,79.9296,5
19.258924,46.16318,5
19.30157,66.79535,5
28.726658,66.59149,5
31.469442,70.73126,5
24.7616,53.87542,5
25.573135,42.486862,5
21.249775,41.757904,5
21.108988,54.924095,5
22.383852,51.547867,5
21.924397,45.714466,5
17.733076,66.25726,5
25.397017,31.641071,5
32.056194,77.94175,5
14.682313,70.21189,5
25.10857,48.52992,5
31.272806,52.470093,5
19.207644,41.820736,5
26.455257,53.2814,5
23.90789,51.227875,5
25.409847,56.367237,5
23.769047,62.697186,5
24.230778,78.3577,5
22.296677,66.088165,5
19.802984,50.09746,5
23.729088,62.261967,5
24.819435,39.453655,5
21.507887,49.054726,5
17.732988,59.59938,5
33.255436,62.58283,5
24.929268,33.4401,5
20.510586,72.62771,5
22.590866,45.2259,5
25.307869,54.04444,5
17.733952,41.284527,5
20.634323,62.664425,5
14.141702,51.369583,5
24.77963,53.407394,5
24.676937,72.70276,5
17.989714,36.255356,5
27.23746,44.39047,5
29.181107,65.42279,5
33.561417,70.13464,5
25.95507,44.74148,5
26.654587,71.653824,5
18.381927,49.22698,5
28.45307,33.78969,5
23.552357,70.20093,5
29.623922,47.64596,5
28.452936,62.219494,5
25.304249,76.31588,5
20.929832,52.159367,5
28.666264,61.029778,5
29.366251,53.94474,5
26.567942,64.83719,5
25.837961,47.183334,5
26.926985,74.818924,5
16.270489,57.219887,5
28.17176,39.280895,5
28.99435,75.61785,5
22.42552,73.53355,5
23.060625,45.8816,5
21.85015,76.51609,5
29.211735,41.697773,5
29.547688,52.06963,5
23.257273,44.45861,5
21.249737,65.76731,5
28.804403,70.42901,5
21.500095,69.70049,5
38.36372,77.46398,5
29.301723,40.422123,5
29.41247,73.58013,5
21.56454,37.5234,5
22.305471,70.98632,5
28.212711,36.4321,5
19.81916,59.737057,5
27.543322,36.784,5
18.662207,66.575356,5
26.982342,61.603752,5
25.856758,38.227062,5
22.187496,30.672552,5
28.832474,48.48264,5
28.820929,36.802578,5
20.836132,47.333607,5
19.377607,48.684097,5
24.127804,41.947628,5
17.271057,40.983143,5
21.000866,41.64464,5
17.908848,31.42908,5
27.931692,58.650185,5
25.106745,53.21338,5
25.264503,39.98364,5
21.321405,52.946407,5
24.885616,50.10257,5
21.529177,43.458908,5
24.573067,34.74346,5
21.686342,33.787716,5
9.056905,77.93449,5
30.924309,37.48301,5
19.30397,47.34242,5
25.946838,75.111595,5
26.622421,38.126804,5
19.431608,33.808342,5
18.506077,64.50702,5
18.933517,38.22055,5
22.85565,68.75566,5
31.258245,58.27302,5
24.035166,65.6517,5
35.303448,33.563473,5
31.722473,46.242172,5
30.564259,77.245445,5
24.820034,65.7979,5
16.839294,55.658756,5
21.798117,71.556305,5
37.098026,79.777664,5
16.65579,71.31476,5
25.50063,51.965786,5
20.127651,60.774406,5
26.393932,35.131577,5
33.920918,51.212387,5
21.526484,66.46953,5
32.593456,75.08274,5
18.369411,58.365536,5
29.239107,70.41467,5
26.112892,73.096855,5
31.254164,68.533165,5
31.492338,55.1195,5
27.615122,40.370693,5
20.02431,59.35527,5
30.384064,79.25132,5
25.350088,62.019493,5
25.325882,54.000713,5
27.60054,55.54365,5
24.646317,59.01394,5
19.766645,77.488594,5
24.531841,74.74543,5
18.197443,35.111645,5
27.986979,37.910625,5
29.065687,60.70277,5
21.877008,77.26187,5
20.996634,36.445896,5
21.880758,54.05278,5
28.587967,32.168983,5
28.927076,59.610943,5
22.726587,33.047516,5
24.27954,74.60207,5
32.48946,63.839935,5
37.301453,76.560265,5
28.856817,64.85234,5
22.001896,54.11326,5
22.516687,74.05727,5
25.88805,71.54942,5
25.293022,37.978436,5
30.214657,58.98784,5
35.65835,49.00834,5
22.857553,52.688995,5
26.105396,35.410576,5
16.547363,65.9358,5
30.815533,46.37945,5
20.754375,33.599567,5
27.530783,35.992134,5
21.681889,74.93049,5
22.26272,76.011116,5
23.110329,34.462402,5
24.309534,31.685104,5
29.19702,49.20586,5
28.75923,65.22805,5
24.873037,50.23254,5
31.744175,78.41166,5
20.285585,32.104042,5
25.98859,41.376774,5
22.861507,79.364456,5
23.232101,51.921837,5
26.944704,30.043777,5
24.919458,72.59137,5
28.290335,47.35419,5
16.170109,77.12155,5
16.908957,44.669197,5
17.904148,69.752975,5
17.015617,56.887432,5
25.995417,67.78535,5
32.998318,67.1503,5
23.980608,69.86071,5
25.186771,71.167786,5
23.897375,73.18481,5
26.61896,59.103844,5
